perfume_id,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings
18,Rasasi,Romance,60,35.25,45,EDP,Women,Floral,"Amber, Musk, Powdery Notes, Cedar, Sandalwood","Rose, Jasmine",4.5,B.A.G,3.7,14.1K
19,BOUCHERON,Quatre,327,171.5,100,EDP,Women,Floral,Golden Woods Musk,"Sambac Jasmine Absolute, Rose Absolute",5,Star.perfume,3.9,537
20,NARCISO RODRIGUEZ,Narciso Rodriguez,595,200,100,EDP,Women,Floral,"Patchouli, Sandalwood","Amber, Musk",4.6,hadayiq baris,3.8,122
21,Alina Corel,Monsieur Intense Gold,31.45,31.45,100,EDP,Unisex,Woody,"Rare Wood, Amber Fat, White Musk","Shepherd, Saffron, Teak Wood, Gaiak Wood",5,Kathya,3.8,116
22,Revlon,Charlie Gold,143,43,100,EDT,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel, Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",4,Golden Perfumesعطر أصلي 100  %,3.6,113
23,TED LAPIDUS,Pour Homme,129,44.45,100,EDT,Men,Woody,"Sandalwood, Tonka bean, Amber, Patchouli, Musk, Oakmoss, Cedar, Tobacco","Pine tree, Honey, Orris Root, Jasmine, Caraway, Petitgrain, Lily-of-the-valley, Rose, Brazilian Rosewood, Incense",5,neo lek,3.5,88
24,Britney Spears,Fantasy,170,90,100,EDP,Women,Vanilla,"Sandalwood, Jasmine, Amber, Vanilla","Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",5,Cute Shop,3.8,76
25,GUCCI,Bloom Aqua Di Fiori,515,311.8,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7,noon,4.2,98.1K
26,Yves Saint Laurent,Body Kouros,510,203.6,100,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",5,noon,4.2,98.1K
27,Van Cleef & Arpels,First,170.95,170.95,100,EDT,Women,Floral,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-of-the-valley, Narcissus",5,noon,4.2,98.1K
28,NARCISO RODRIGUEZ,Narciso Rodriguez,465,226,100,EDP,Women,Musk,"Patchouli, Sandalwood","Amber, Musk",4,Brand Land,4.2,98
29,S.T.Dupont,S.T. Dupont,120,79.35,100,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk, Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender, Jasmine",5,noon,4.2,98.1K
30,Estee Lauder,Knowing,585,220,75,EDP,Women,Woody,"Oakmoss, Vetiver, Sandalwood, Amber","Jasmine, Patchouli, Orange Flower",5,KAYA,4.3,4K
31,Geoffrey Beene,Grey Flannel For Men,361,79,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver, Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium, Narcissus",5,top langri,3.7,347
32,Dolce & Gabbana,The Only One,596,187.3,100,EDP,Women,"Oriental, Floral","Marshmallow, Vanilla, Sandalwood, Heliotrope","Coffee, Iris",5,Asrar Aljamal,3.5,244
33,Rasasi,Al Wisam Day,177,76,100,EDP,Men,Oriental,"Oak Moss, Rich, Oud","Amber Nuanced Clary Sage, Soft, Milky Sandalwood, Woody, Cedarwood",4.3,hadayiq baris,3.8,122
34,Mancera,Black Vanilla,588,296,120,EDP,Unisex,Woody,"Vanilla Pods from Madagascar, White Musk","Delicate Bulgarian Rose, Violet, Jasmine",3,MAKE UP,3.8,71
35,Dior,Addict,715,333.8,100,EDP,Women,Floral,"Bourbon Vanilla, Sandal Wood, Tonka Bean","Night Queen Flower, Bulgarian Rose, Orange Flower",4.5,Parfume-Stor,3.5,63
36,S.T.Dupont,Passenger,182,108.9,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",5,perfumes--addresses,4.4,59
37,BURBERRY,Brit Rhythm Intense,370,136.65,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6,noon,4.2,98.1K
38,Calvin Klein,CK Be,247,108.3,200,EDT,Men,Floral,"Musk, Sandalwood, Cedar, Vanilla, Opoponax, Amber","Green Grass, Peach, Jasmine, Freesia, Magnolia, Orchid",5,noon,4.2,98.1K
39,GUCCI,Guilty,504,214.9,75,EDT,Women,Floral,"Patchouli, Amber","Raspberry Vilolet, Lilac, Peach",5,noon,4.2,98.1K
40,AIGNER,Starlight,341,126.95,100,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, White Musk","Cumin, Jasmine, Strawberries",5,noon,4.2,98.1K
41,BENTLEY,Azure,387,107,100,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean, Orcanox","Pimento, Tea Accord, Lavender, Clary Sage",4.6,Cute Shop,4.1,538
42,VERSACE,Dylan Blue,85,20.5,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4,Princess of beauty,4.2,467
43,Estee Lauder,Modern Muse,450,164.4,50,EDP,Women,Floral,"Amber, Musk, Patchouli, Woody Notes","Honey Suckle, Jasmine Sambac, Lily, Tuberose",5,King-Perfume,3.9,450
44,Yves Saint Laurent,La Nuit De L'Homme L'Intense,583,204,100,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",5,Parfume-Stor,4.1,319
45,Juicy Couture,Vivi La Juicy Limited Edition,235,154.1,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood, Pralines","Honeysuckle, Gardenia, Jasmine",5,AMLAQ,3.9,135
46,Laura Mars,Splandid,36,36,100,EDP,Women,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli, Ylang-Ylan",5,hadayiq baris,3.8,122
47,GIORGIO ARMANI,Stronger With You,415,170,100,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber wood, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",4.5,hadayiq baris,3.8,122
48,CHLOE,Chloe,631,186,75,EDP,Women,Floral,"Cedar, Amber","Magnolia, Lily-of-the-valley, Rose",3.5,عالم المشاهير,3.5,75
49,HERMES,Terre D'Hermes,15,9.55,2,EDT,Men,Citrus,"Patchouli, Cedar, Vetiver, Benzoin","Pepper, Pelargonium",5,beautiful lady,3.8,23
50,Elizabeth Arden,5Th Avenue,135,89.4,125,EDP,Women,Floral,"Amber, Vanilla, Clove, Iris, Musk, Sandalwood","Peach, Jasmine, Bulgarian Rose, Violet, Tuberose, Carnation, Nutmeg, Ylang-Ylang",3.8,noon,4.2,98.1K
51,VERSACE,Dylan Blue,425,217.85,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6,noon,4.2,98.1K
52,Benetton,Hot Gold,45,27.45,100,EDT,Women,Fresh,"Amber, Musk, Sandalwood","Carambola, Rose, Mimosa",4.4,noon,4.2,98.1K
53,PACO RABANNE,Invictus,395,210,100,EDT,Men,Citrus,"Guaiac Wood, Patchouli Heart","Ambregris Accord, Grapefruit Zests",4.8,Boutique Wareef,3.8,98
54,Roberto Cavalli,Nero Assoluto,264,129.55,75,EDP,Women,Arabian,"Ebony, Woodsy Notes",Vanilla,5,noon,4.2,98.1K
55,DORALL COLLECTION,Scholar,19,9.45,100,EDT,Men,Floral,"Patchouli, Moss, Woody-Amber, Sandalwood, Musk, Dry Woods","Jasmine, Peach, Apple, Green Notes, Lavender, Muguet, Dried Fruits.",5,B.A.G,3.7,14.1K
56,Calvin Klein,Eternity,131,100,100,EDT,Men,Floral,"Sandalwood, Amber, Musk, Vetiver, Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-valley, Geranium",4,hadayiq baris,3.8,122
57,Juicy Couture,Viva La Juicy Noir,490,144.45,100,EDP,Women,Fruity,"Amber, Caramel, Vanilla, Sandalwood","Gardenia, Honeysuckle, Jasmine",4.9,Rose Gallary,3.5,63
58,PACO RABANNE,Lady Million,535,210,80,EDP,Women,Floral,Gardenia,"Arabic Jasmine, African Orange Flower",4.7,Beauty Ideas,3.9,61
59,Giorgio Beverly Hills,giorgio,120,120,90,EDT,Women,Floral,"Sandalwood, Patchouli, Vanilla, Amber, Cedar, Oakmoss, Musk","Ylang-ylang, Seductive Tuberose, Gardenia, Jasmine, Rose, Orchid",5,Faces,3.9,61
60,Guerlain,Idylle,430,256,100,EDP,Women,Floral,"Amber Accord, Sandalwood","Magnolia, Jasmine, Ylang Ylang",4.3,MOON LIGHT,3.9,33
61,Yves Saint Laurent,Libre,655,410,90,EDP,Women,Floral,"Amber, Vanilla, Ambergris, Musk","Orange Blossom, Jasmine, Lavender",4.9,Parfume-Stor,4.2,25
62,Jean Paul GAULTIER,Scandal,400,288,50,EDP,Women,Floral,"Patchouli, Beeswax, Caramel, Licorice","Honey, Gardenia, Jasmine, Orange Blossom, Peach",5,Shopping life,4.2,20
63,BURBERRY,Mr. Burberry,515,179.95,100,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin, Cinnamon","Lavender, Cedar, Nutmeg",4.5,noon,4.2,98.1K
64,Ajmal,Raindrops,97,47.95,50,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,4.7,noon,4.2,98.1K
65,GUCCI,Guilty Absolute,552,332.3,90,EDP,Women,Spicy,"Patchouli, Amber","Vetiver, Cypress, Bulgarian Rose, Woody Notes",4.2,Star.perfume,3.9,537
66,BURBERRY,Mr. Burberry,295,200,100,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin Cinnamon","Lavender, Cedar, Nutmeg",5,Star.perfume,3.9,537
67,VERSACE,Dylan Blue,85,20.5,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4,Princess of beauty,3.5,467
68,J.CASANOVA,ICQ,76.3,76.3,100,EDT,Men,Fresh,"Wood, Cedar Wood, Patchouli, Animal, Sandalwood","Floral, Ylang-Ylang, Jasmin, Cyclamen, Rosewood",5,Parisian Store,3.9,425
69,UNITED COLORS OF BENETTON,Cold,51,27.95,100,EDT,Women,Spicy,"Amber, Frankincense, Musk, Patchouli, Vanilla, Vetiver","Coriander, Cumin, Pimiento",4,top langri,4.2,347
70,YSL,Supreme Bouquet,1215,699,75,EDP,Unisex,Woody,"Amber, Musk, Patchouli","Tuberose, Jasmine, Ylang-Ylang",5,PARFUM.1990,3.5,244
71,TOMMY HILFIGER,Tommy,340,129,100,EDT,Men,Spicy,"Amber, Cactus, Cotton","Cranberry, Rose, Apple",4.4,AMLAQ,3.9,135
72,RALPH LAUREN,Safari,541,178,125,EDT,Men,Woody,"Leather, Sandalwood, Amber, Patchouli, Musk, Oakmoss, Cedar","Cyclamen, carnation, cinnamon, tarragon, jasmine, rose",3.5,Pinch Of Perfum,3.5,75
73,EMPORIO ARMANI,Stronger With You,415,175.85,100,EDT,Men,Floral,"Amberwood, Cedar, Chestnut, Vanilla","Melon, Pineapple, Sage",4.5,flower,3.8,66
74,TED LAPIDUS,Rumba Passion Ted Lapidus,140,95,100,EDT,Women,Floral,"Patchouli, Vanilla, Honey","Jasmine, Rose",5,Beauty Gallery,3.7,59
75,HUGO BOSS,Dark Blue,159,129,75,EDT,Men,Citrus,"Benzoin, Olibanum, Patchouli, Suede","Pelargonium, Cypress, Sage",4.5,Diorworld,3.6,30
76,VERSACE,Dylan Blue,425,217.85,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6,noon,4.2,98.1K
77,BOUCHERON,Quatre,462,169.75,100,EDP,Women,Floral,"Caramel, Cashmere, Vanilla, White Musk","Apple, Jasmine, Fishing, Rose",4.9,noon,4.2,98.1K
78,DORALL COLLECTION,Molto Carina,27,8.55,100,EDT,Women,Woody,"Musk, Lactone, Woody Amber","Tropical Fruits, Peach, Jasmin, Water",4,B.A.G,3.7,14.1K
79,armani,Stronger With You Intensely,457,336,100,EDP,Men,Sweet Aromatic,Ambery Woods,Vanilla,4.8,flower,3.9,537
80,PACO RABANNE,1 Million,395,173,100,EDT,Men,Woody,"Indian Patchouli, Amber, Woody Notes, Leather","Rose absolute, musk, cinnamon bark",3.8,Al-Najm,3.7,347
81,VALENTINO,Valentina,500,241,80,EDP,Women,Floral,"Virginia Cedar,Vanilla,Amber","Strawberry,Tuberose,African Orange Flower,Jasmine",5,top langri,3.7,347
82,Ard Al Zaafaran,Oud 24 Hours,47,47,100,EDP,Unisex,Fresh,"Amber, Incense, Sandalwood, Patchouli, Agarwood (oud)","Spicy Notes, Fruity Notes, Jasmine, Gardenia, Ylang-ylang",4,Attractive perfume,3.5,244
83,DKNY,Be Delicious,185,148.35,100,EDP,Women,Floral,"White Amber, Woods","Apple, Tuberose, White Muguet, Rose, Violet",4.8,AMLAQ,3.9,135
84,Estee Lauder,Modern Muse,584,239.7,100,EDP,Women,Floral,"Patchouli, Amber, Musk, Vanilla, Woodsy Note","Tuberose, Lily, Flower Petals, Honeysuckles, Jasmine Sambac, Chinee Jasmine",4.5,AMLAQ,3.9,135
85,CAROLINA HERRERA,Good Girl,565,213.15,80,EDP,Women,Arabian,"Tonka Bean, Cocoa, Sandalwood, Praline, Cinnamon, Cedar, Cashmere Wood","Jasmine Sambac, Tuberose, Orris, Bulgarian Rose, Orange Blossom",4.8,hadayiq baris,3.8,122
86,BURBERRY,Mr.Burberry,515,199.9,100,EDP,Men,Woody,"Sandalwood, Vetiver , Guaiac Wood","Birch Leaf, Nutmeg Oil , Cedar",4.6,Faces,3.9,61
87,Guerlain,Ideal,560,223,100,EDP,Men,Fruity,"Leather, Sandalwood, Tonka Beans","Bulgarian Rose, Cherry, Incense, Vanilla",4.8,Majestueuse,4.8,21
88,GIORGIO ARMANI,Acqua Di Gio,660,464.9,200,EDT,Men,Citrus,"Amber, Oak moss, Musk, Cedar","Violet, Coriander, Small Coconut, Peach, Rose, Sea Notes, Freesia, Flower Of Love",3.7,Beautiful Live,4.1,7
89,ELIE SAAB,Girl of Now Shine,504,192,90,EDP,Women,Arabian,"Iris, Jasmine, Sweet Vanilla, Patchouli","Roasted Almonds, Ylang-ylang",5,flower,4.2,98
90,NARCISO RODRIGUEZ,Narciso Rodriguez,436,215.75,50,EDP,Women,Spicy,"Patchouli, Sandalwood","Amber, Musk",4.3,noon,4.2,98.1K
91,Ajmal,Raindrops,97,47.95,50,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,4.7,noon,4.2,98.1K
92,Roberto Cavalli,Uomo,349,126,100,EDT,Men,Floral,Cedar,"Honey, Lavender",5,noon,4.2,98.1K
93,MONTBLANC,Emblem Absolu,395,116,100,EDT,Men,Spicy,"Patchouli, Vetiver, Moss","Pink Pepper, Lavender, Fruits, Honey",4.7,Modon,3.9,537
94,LACOSTE,Eau de Lacoste L. 12.12 Noir,330,85,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin, Patchouli","Basil, Verbena, Lavender",4.8,Al-Najm,3.7,347
95,Calvin Klein,CKIN2U,148,82.9,100,EDT,Men,Citrus,"Vetiver, Cedar, White Musk",Cacao Pod,5,AMLAQ,3.9,135
96,Roberto Cavalli,Florence,230,166.8,75,EDP,Women,Floral,"Patchouli, Musk, Amber","Orange Blossom, Grapefruit Blossom, Hibiscus Seed",4.6,AMLAQ,3.9,135
97,TOMMY HILFIGER,Tommy Hilfiger,221,124.9,100,EDT,Men,Spicy,"Amber, Cactus, Cotton Flower","Cranberry, Rose, Granny Smith Apple",4.1,AMLAQ,3.9,135
98,LE CHAMEAU,Atelier Intense,88,71.25,80,EDT,Men,Arabian,"Vetyver, Amber, Musk, Oakmoss","Spicy, Sandalwood, Ceadarwood, Tonka",5,Emper Perfumes,3.5,88
99,LE CHAMEAU,Genesis Oud Malaki,73,73,100,EDT,Unisex,Arabian,"Musk, Vetiver","Agarwood, Apple, Patchouli, Amber",2,Queen Line,3.8,81
100,AVON,Tomorrow,130,70,50,EDP,Women,Floral,"Powdery, Floral, Woody, Balsamic, Rose",Musk,4.5,Tiffany,3.7,54
101,PACO RABANNE,Invictus,395,210,100,EDT,Men,Citrus,"Guaiac Wood, Patchouli Heart","Ambregris Accord, Grapefruit Zests",4.8,Boutique Wareef,3.8,98
102,Salvatore Ferragamo,Signorina Eleganza,326,153.3,100,EDP,Women,Fruity,"Patchouli, White Leather","Almond Powder, Golden Osmanthus Petals",5,noon,4.2,98.1K
103,Carrera,Pour Homme,59,43.5,100,EDT,Men,Woody,"Cedar, Tonka Bean, Musk, Leather, Sandalwood, Oakmoss","Anise, Ginger, Cloves, Jasmine",5,KAYA,4.3,4K
104,DORALL COLLECTION,Nashwa,43,14.2,100,EDT,Women,Woody,"Amber, patchouli, vanilla, musk, sandalwood","Magnolia, gardenia, lily of the valley, freesia, jasmine",5,B.A.G,3.7,14.1K
105,Calvin Klein,Euphoria,289,94.55,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood, Suede","Black Basil, Sage, Cedar",4.7,Star.perfume,4.2,537
106,HUGO BOSS,XX,295,158.65,100,EDT,Women,Fruity,"Amber, Musk, Sandalwood","Jasmine, Rice, Rose",4.5,Star.perfume,3.9,537
107,Sedr Al-Khaleej Perfumes,Moon Light,55,34.3,100,EDP,Women,Citrus,"Tonka Bean, Cocoa, Sandalwood, Praline, Cinnamon, Cedar, Cashmere Wood","Jasmine Sambac, Tuberose, Orris, Bulgarian Rose, Orange Blossom",5,SEDR,4.2,288
108,Dunhill,Desire,230,84.95,100,EDT,Men,Fresh,"Vanilla, Musk, Labdanum","Rose, Teakwood, Patchouli",4.2,hadayiq baris,3.8,122
109,Dior,Sauvage,1176,240.85,100,EDT,Men,Fresh,"Cedar, labdanum, ambroxan","Geranium, lavender, sichuan, pepper, elemi, pink pepper, vetiver, patchouli",3.8,ثروة الجمال,3.9,61
110,TRUSSARDI,My Land,300,164,100,EDT,Men,Woody,"Leather, Vetiver, Tonka Bean","Lavender, Violet, Calone",4.5,Beautiful Live,4.1,7
111,Dupont,Passenger,95,95,100,EDT,Men,Woody,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",4.5,Beautiful Live,4.1,7
112,ANGEL SCHLESSER,Essential,287,103.95,100,EDP,Women,Oriental,"Sandal Wood, Musk, Vetiver","Peony, Violet, Freesia, Bulgarian Rose",4.6,noon,4.2,98.1K
113,Calvin Klein,Euphoria,220,91.95,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood, Suede","Black Basil, Sage, Cedar",5,noon,4.2,98.1K
114,PACO RABANNE,Pour Homme,226,136.05,100,EDT,Men,Woody,"Honey, Amber, Musk, Oakmoss","Tonka Bean, Lavender, Geranium",4.5,noon,4.2,98.1K
115,MONTBLANC,Starwalker,240,125.55,75,EDT,Men,Woody,"Ginger, Fir Resin, Nutmeg, Amber","Sandalwood, White Musk, Cedar",5,noon,4.2,98.1K
116,DORALL COLLECTION,Classic Black,9,8.8,100,EDT,Men,Fresh,"Chocolate,cashmere Wood, Patchouli, Tonka Bean","Basil, Verbena , Lavender",4,the beauty,3.9,538
117,S.T.Dupont,Essence Pure,215,84.6,100,EDT,Women,Citrus,"Amber, Patchouli, Vanilla, Cedar","Jasmine, Rose",4.4,the beauty,4.1,538
118,S.T.Dupont,Passenger Spray,220,124.7,100,EDP,Women,Fruity,"Sandalwood, Musk","Redolent with Cyclamen, Gardenia, Rose, Iris",5,AMLAQ,3.9,135
119,DAVIDOFF,Zino,116,81.55,125,EDT,Men,Woody,"Tonka, Sandal, Amber, Cedar, Patchouli, Vanilla","Muguet, Rose, Jasmine, Geranium",3.4,AMLAQ,3.9,135
120,Ajmal,Evoke,150.05,150.05,75,EDP,Women,Floral,"Patchouli, Vanilla, Moss","Jasmine, Rose, Orris",5,BOUTIQUE PERFUMES,4.3,118
121,Guerlain,Idylle,725,259.7,100,EDP,Women,Floral,"Musk, Patchouli","Jasmine, Lilac, Lily, Lily Of The Valley, Peony",5,ثروة الجمال,3.8,76
122,CHOPARD,Wish,182,96,75,EDP,Women,Oriental,"Patchouli, Caramel, Amber, Sandalwood, Vanilla","Honey, Milk, Lily Of The Valley, Orchid, Violet, Jasmine, Heliotrope, Osmanthus, Magnolia",4.8,Dior Fragrances,3.9,69
123,PACO RABANNE,Olympêa,455,150,80,EDP,Women,Floral,"Sandalwood, Cashmere, Ambergris",Vanilla,4.5,Asrar Aljamal,3.8,61
124,CHOPARD,Happy Spirit,230,152.15,75,EDP,Women,Floral,"Amber, Cashmere Wood, Musk","Honeysuckle, Osmanthus",4.4,noon,4.2,98.1K
125,CARTIER,Pasha de Cartier,290,185.25,100,EDT,Men,Aromatic,"Oakmoss, Sandalwood, Patchouli, Labdanum","Coriander, Brazilian Rosewood",4.3,noon,4.2,98.1K
126,PACO RABANNE,Olympea,458,134,80,EDP,Women,Floral,"Cashmere, Sandalwood, Ambergris",Salted Vanilla,4,Number One,4.2,1.3K
127,jennifer lopez,Live,161,104,100,EDP,Women,Fruity,"Tonka Bean, Sensual, Rich, Creamy Buttery Lactonic Caramel","Uity Red Currant Blossoms, Violet",5,Star.perfume,3.9,537
128,Yves Saint Laurent,Black Opium Nuit Blanche,620,266.9,90,EDP,Women,Spicy,"Vanilla Absolute, Sandalwood, White Musk","Orange Blossom Absolute, Black Opium Coffee",4.5,Al-Najm,3.7,347
129,LACOSTE,Eau de Lacoste L. 12.12 Noir,330,85,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin, Patchouli","Basil, Verbena, Lavender",4.8,Al-Najm,3.7,347
130,Calvin Klein,Euphoria Intense,440,99,100,EDT,Men,Spicy,"Cashmere Woods, Madagascar Vanilla, Burnt Amber, Australian Sandalwood","Black Basil, Sage, Cedar, Vetiver",4.2,Al-Najm,3.7,347
131,PACO RABANNE,Paco Rabanne,250,133.7,100,EDT,Men,Woody,"Tobacco, Oakmoss, Musk","Lavender, Thyme, Tarragon",4.4,AMLAQ,3.9,135
132,Ajmal,Sacrifice,75.9,75.9,50,EDP,Women,Floral,"Woody, Oriental, Musky","Floral, Musky",4.5,neo lek,3.5,88
133,BVLGARI,Petits Et Mamans,327,197.75,100,EDT,Women,Floral,"Iris, Vanilla",White Peach,4.8,Tiffany,4.2,75
134,Ferrari,Scuderia Black,163,98.5,125,EDT,Men,Fruity,"Cedar, Amber, Musk, Vanilla","Cardamom, Cinnamon, Rose, Jasmine",4,Beauty Gallery,3.7,59
135,TRUSSARDI,My Name,308,228,50,EDP,Women,Floral,"Dry Amber, Vanilla","Lilac, Musk",4.6,Beautiful Live,4.2,7
136,VERSACE,Crystal Noir,342,183.45,50,EDT,Women,Arabian,"Sandalwood, Musk, Amber","Orange Blossom, Peony, Gardenia, Coconut",3.9,noon,4.2,98.1K
137,Calvin Klein,Intense Euphoria,290,109.95,100,EDT,Men,Spicy,"Labdanum, Amber, Patchouli, Agarwood, Myrrh","Black Basil, Sage, Cedar, Vetiver",4.4,noon,4.2,98.1K
138,PACO RABANNE,One Million Lucky,435,257.15,100,EDT,Men,Woody,"White cedar, patchouli, amber wood, vanilla","Hazelnut, Cedar, Jasmine",4.7,noon,4.2,98.1K
139,HERMES,Terre D' Hermes,474,173,100,EDT,Men,Citrus,"Woody Notes, Patchouli, Cedar",geranium,3.9,Boutique Wareef,4.2,98.1K
140,Alrehab,Anfas Aloud,215,85.5,60,EDP,Unisex,Arabian,Oud,bergamot,5,Parisian Store,4.1,425
141,EMPORIO ARMANI,Because It's You,483,154.7,100,EDP,Women,Floral,"Musk, Vanilla, Amberwood",Rose,4.9,Al-Najm,3.7,347
142,Genie,London Burberry,29,14.95,25,EDP,Women,Floral,"Wood, Musk","Jasmine, Tiare Flower, Soft Peony",4.7,moon perfume,3.7,199
143,Roberto Cavalli,Women,430,103,75,EDP,Women,Arabian,"Benzoin,Tonka Beans,Vanilla",Orange Tree Blossom,5,rich&light,3.8,69
